Price,Close,High,Low,Open,Volume,20EMA,50EMA,100EMA,200EMA
Ticker,APLE,APLE,APLE,APLE,APLE,,,,
Date,,,,,,,,,
2015-09-01,10.533106803894043,10.684357620898785,10.442356544481628,10.678307449744336,1126600,10.610953919568619,10.779692273993104,10.828606645599027,10.796270176387802
2015-09-02,10.82351016998291,10.841660686924905,10.58755921949884,10.605709736440836,554500,10.631197371989028,10.78141062285545,10.828505725289798,10.796541221100192
2015-09-03,10.835603713989258,10.890054076688834,10.729728649824333,10.744853494140514,973200,10.650664642655716,10.7835358421156,10.82864627952147,10.796929902621477
2015-09-04,10.859806060791016,10.890055754082736,10.684354608633916,10.744855149169187,1274600,10.670582872954316,10.786526831083263,10.829263304893145,10.7975555360361
2015-09-08,11.476913452148438,11.48296362429039,10.884010429665274,10.890060601807226,3744200,10.747376261448993,10.813600816223074,10.842088060284338,10.804315316295925
2015-09-09,11.410359382629395,11.476908942134585,11.343808669172311,11.42850873797086,1586900,10.810517511085221,10.83700311294489,10.853340957756517,10.810345605513174
2015-09-10,11.489008903503418,11.489008903503418,11.337758126226197,11.337758126226197,2551100,10.875135738934572,10.862571967476597,10.865928441830714,10.817098474149892
2015-09-11,11.646310806274414,11.646310806274414,11.42850929985349,11.476909506396812,2604900,10.94858098344313,10.89330682390004,10.881381557958312,10.825349343126257
2015-09-14,11.724960327148438,11.764285854293552,11.57370954238467,11.57370954238467,1755300,11.022521873319825,10.925920686772526,10.898086088041284,10.834300696201105
2015-09-15,11.628164291381836,11.749165426290606,11.476913449722046,11.712865547398913,1964700,11.080202103611445,10.953459651659166,10.912543082166838,10.842199836451659
2015-09-16,11.71286392211914,11.737063453371555,11.482962028484188,11.664463705662127,1859600,11.140455610135987,10.983240211285048,10.928391019591635,10.850863160687158
2015-09-17,11.960908889770508,12.003258912669745,11.646307071159635,11.646307071159635,3381800,11.218594017720227,11.02158015946095,10.948836918011018,10.861908391822316
2015-09-18,11.4406099319458,11.948812690596176,11.392209724167289,11.936712350163553,19763600,11.239738390503614,11.038012699558395,10.958574997494875,10.867666616102152
2015-09-21,11.464811325073242,11.53741106427535,11.295410010348242,11.501111194674296,1737400,11.261173908081673,11.05474990055898,10.9685994792291,10.873608354499876
2015-09-22,11.204657554626465,11.380107851468203,11.104831490426303,11.355908327813262,1414600,11.255791398228796,11.060628632091039,10.973273896563702,10.876902376391682
2015-09-23,11.428511619567871,11.464812647307562,11.210711222890625,11.283310970465646,1210000,11.272240943118232,11.07505541591366,10.982288504940023,10.882391025577514
